id,title,genre,description
510,"Are You There God?  It's Me, Margaret",young adult|contemporary fiction|coming-of-age,"<Are You There God? It's Me, Margaret> is a young adult coming-of-age book about a preteen girl navigating the challenges of puberty, friendship, and her search for identity while exploring her feelings about religion and spirituality."
511,Holes (Yearling Newbery),adventure|mystery|young adult,<Holes (Yearling Newbery)> is a young adult adventure and mystery book about a boy named Stanley Yelnats who is sent to a juvenile detention camp where he uncovers the dark secrets of the camp's past.
512,Island of the Blue Dolphins,adventure|historical fiction,<Island of the Blue Dolphins> is a historical fiction adventure book about a young girl named Karana who is stranded on an island and must learn to survive on her own.
513,How to Eat Fried Worms,children's|humor|fiction,<How to Eat Fried Worms> is a children's humor book about a boy who bets he can eat fifteen worms in fifteen days for fifty dollars.
514,Tales of a Fourth Grade Nothing,children's literature|humor|fiction,"<Tales of a Fourth Grade Nothing> is a children's literature book about the humorous adventures and sibling rivalry between fourth grader Peter Hatcher and his mischievous little brother, Fudge."
515,A Wrinkle In Time,fantasy|science fiction|young adult,"<A Wrinkle In Time> is a fantasy/science fiction/young adult book about a young girl named Meg who, along with her brother and a friend, embarks on a journey through time and space to rescue her scientist father from an evil force"
516,Island of the Blue Dolphins (Laurel Leaf Books),adventure|historical fiction,<Island of the Blue Dolphins (Laurel Leaf Books)> is an adventure|historical fiction book about a young girl named Karana who must survive alone on an island after being left behind by her people.
517,The Outsiders,young adult|coming-of-age|fiction,<The Outsiders> is a young adult coming-of-age fiction book about the rivalry between two groups of teenagers from different social classes in 1960s Oklahoma.
518,A Wrinkle in Time,fiction|fantasy|science fiction,<A Wrinkle in Time> is a science fiction/fantasy book about a young girl named Meg who goes on a cosmic journey to rescue her missing scientist father with the help of three mysterious beings.
519,Good Omens,fantasy|humor|supernatural,"<Good Omens> is a fantasy book about an angel and a demon teaming up to prevent the impending apocalypse, while navigating the absurdities of human existence and bureaucracy."
520,Club Dead (Southern Vampire Mysteries),mystery|fantasy|romance,"<Club Dead (Southern Vampire Mysteries)> is a mystery|fantasy|romance book about telepathic waitress Sookie Stackhouse searching for her vampire boyfriend Eric Northman, who has gone missing in Mississippi."
521,Dune (Remembering Tomorrow),science fiction|unique world-building|political intrigue,"<Dune (Remembering Tomorrow)> is a science fiction novel with unique world-building and political intrigue, following the story of a young nobleman navigating complex power struggles on a desert planet."
522,Guilty Pleasures (Anita Blake Vampire Hunter (Paperback)),urban fantasy|paranormal romance|horror,"<Guilty Pleasures (Anita Blake Vampire Hunter (Paperback))> is an urban fantasy book about Anita Blake, a vampire hunter who gets caught in a dangerous world of supernatural creatures and politics."
523,Neuromancer (Remembering Tomorrow),science fiction|cyberpunk,<Neuromancer (Remembering Tomorrow)> is a cyberpunk science fiction book about a washed-up computer hacker hired to pull off a high-stakes heist in a futuristic world dominated by artificial intelligence and virtual reality.
524,Stranger in a Strange Land (Remembering Tomorrow),science fiction,<Stranger in a Strange Land (Remembering Tomorrow)> is a classic science fiction novel about a human raised by Martians who returns to Earth and challenges societal norms with his unique abilities.
525,Crocodile on the Sandbank,mystery|historical fiction|adventure,"<Crocodile on the Sandbank> is a mystery-adventure book set in 19th century Egypt, where a strong-willed woman named Amelia Peabody uncovers ancient secrets and solves a murder mystery while battling against superstitions and danger."
526,To Kill a Mockingbird,coming-of-age|classic literature|legal drama,"<To Kill a Mockingbird> is a classic literature book about a young girl's coming-of-age journey in the racially divided town of Maycomb, Alabama, during her father's courageous defense of a black man wrongly accused of rape."
527,Windmills of the Gods,suspense|thriller,<Windmills of the Gods> is a suspense thriller about a female college president who becomes embroiled in a deadly international conspiracy.
528,Presumed Innocent,legal thriller|crime fiction|murder mystery,<Presumed Innocent> is a legal thriller crime fiction murder mystery about a prosecutor who becomes the prime suspect in the murder of his colleague and former lover.
529,Nothing Lasts Forever,novel|crime fiction|thriller,<Nothing Lasts Forever> is a crime fiction thriller novel about a successful female surgeon who faces personal and professional challenges while working at a prestigious hospital in Los Angeles.
530,The Sands of Time,novel|suspense|romance,<The Sands of Time> is a suspenseful novel about a journalist and a prince who must unravel a dangerous conspiracy involving a priceless ancient artifact.
531,Devices and Desires,mystery|thriller|detective,"<Devices and Desires> is a mystery thriller detective book about a small-town detective investigating a series of murders with the help of her estranged father, a former FBI profiler."
532,Presumed Innocent,legal thriller|crime fiction|murder mystery,<Presumed Innocent> is a legal thriller novel about a prosecutor who becomes the prime suspect in the murder of his colleague and must navigate a web of deceit and corruption to prove his innocence.
533,The Burden of Proof,suspense|legal thriller,<The Burden of Proof> is a legal thriller about a successful attorney who investigates his wife's mysterious death and uncovers a web of deception and betrayal.
534,Scarlett : The Sequel to Margaret Mitchell's \Gone With the Wind\,historical fiction|romance,<Scarlett : The Sequel to Margaret Mitchell's \Gone With the Wind\> is a historical fiction|romance book about Scarlett O'Hara's journey to rebuild her life after the Civil War and find love again.
535,The Doomsday Conspiracy,suspense|thriller|mystery,<The Doomsday Conspiracy> is a suspense thriller about a pilot who uncovers a global conspiracy involving a deadly weapon and must race against time to stop it.
536,Along Came a Spider (Alex Cross Novels),thriller|suspense|crime fiction,<Along Came a Spider (Alex Cross Novels)> is a suspenseful crime thriller about detective Alex Cross's hunt for a cunning kidnapper targeting wealthy families.
537,French Silk,Romance|Suspense,"<French Silk> is a Romance|Suspense book about a successful lingerie designer who becomes the prime suspect in her husband's murder investigation, leading to a dangerous romance with the lead detective."
538,The General's Daughter,mystery|thriller|crime fiction,"<The General's Daughter> is a mystery|thriller|crime fiction book about a murder investigation involving the daughter of a high-ranking army general, with shocking revelations and twists along the way."
539,Gone with the Wind,historical fiction|romance,<Gone with the Wind> is a historical fiction/romance book about the tumultuous love affair between Scarlett O'Hara and Rhett Butler during the American Civil War and Reconstruction era.
540,A Yellow Raft in Blue Water,family drama|contemporary fiction|multigenerational narrative,"<A Yellow Raft in Blue Water> is a multigenerational family drama about three Native American women - Rayona, Christine, and Ida - whose intertwined lives are filled with secrets, betrayals, and the enduring power of love."
541,Daisy Fay and the Miracle Man,fiction|humor|coming-of-age,<Daisy Fay and the Miracle Man> is a coming-of-age fiction book about a young girl navigating through the challenges and humor of small-town life in Mississippi during the 1950s.
542,The Bridges of Madison County,romance|drama,<The Bridges of Madison County> is a romance/drama book about the unexpected and passionate love affair between a lonely housewife and a wandering photographer in Iowa.
543,Slow Waltz in Cedar Bend,romance|contemporary fiction,"<Slow Waltz in Cedar Bend> is a romance novel about a college professor who embarks on a passionate affair with a mysterious photographer, leading to a journey of self-discovery and love."
544,The Celestine Prophecy (Celestine Prophecy),fiction|spiritual fiction|adventure,<The Celestine Prophecy (Celestine Prophecy)> is a spiritual fiction book about a man who embarks on a journey to Peru to uncover nine insights that reveal the interconnectedness of all things and the potential for human evolution.
545,The Notebook,romance|drama,<The Notebook> is a romance|drama book about a young couple who fall in love in the 1940s and their enduring love story that spans decades despite obstacles and challenges.
546,Standoff,romance|suspense|thriller,<Standoff> is a romantic suspense thriller about a hostage negotiator who must navigate a dangerous standoff with a charismatic and dangerous criminal.
547,The Guardian,romance|drama|fiction,"<The Guardian> is a romance novel about a widow who finds love again with a mysterious dog trainer, but soon discovers he has a dangerous secret that puts her life at risk."
548,Nights in Rodanthe,romance|drama,<Nights in Rodanthe> is a romance/drama book about a woman who finds unexpected love and healing during a weekend getaway in a coastal North Carolina inn.
549,"Dude, Where's My Country?",satire|political satire,"<Dude, Where's My Country?> is a political satire book by Michael Moore that criticizes the Bush administration's policies and calls for Americans to take action."
550,Where There's Smoke,romance|suspense,<Where There's Smoke> is a romance|suspense book about a TV reporter investigating a suspicious fire and unraveling a dangerous conspiracy while falling for a charismatic firefighter.
551,Season of the Machete,thriller|suspense|crime fiction,<Season of the Machete> is a suspenseful thriller about a deadly game of cat and mouse between a detective and a dangerous serial killer in the Caribbean.
552,Strip Tease,mystery|crime fiction|satire,<Strip Tease> is a satirical crime fiction novel about a stripper who takes on corrupt politicians and sleazy businessmen after witnessing a murder at the club where she works.
553,Kiss the Girls,thriller|suspense|crime fiction,<Kiss the Girls> is a thriller book about a detective hunting down a serial killer who kidnaps and tortures young women.
554,Slow Waltz in Cedar Bend,romance|literary fiction,"<Slow Waltz in Cedar Bend> is a romance novel about a professor who embarks on a passionate affair with a mysterious woman, only to be confronted with the consequences of their forbidden love."
555,Blood Work,crime fiction,<Blood Work> is a crime fiction book about a retired FBI agent investigating the murder of a woman who donated her heart to him for a transplant.
556,The Witness,mystery|thriller|romance,<The Witness> is a mystery|thriller|romance book about a young woman who witnesses a brutal murder and must rely on a hardened detective to protect her from the killer.
557,Strange Highways,horror|thriller,"<Strange Highways> is a horror thriller book about a man who discovers alternate realities through mysterious highways, each leading to a different terrifying and surreal outcome."
558,See How They Run,mystery|thriller,<See How They Run> is a thriller book about a former FBI agent who must stop a deadly cult before they carry out their sinister plan.
559,Primary Colors: A Novel of Politics,political fiction,"<Primary Colors: A Novel of Politics> is a political fiction book about a young campaign worker's journey through the ups and downs of a presidential campaign, filled with scandal and moral dilemmas."
560,Sick Puppy,mystery|thriller|satire,<Sick Puppy> is a satirical mystery thriller that follows a group of eccentric characters as they attempt to take down a corrupt politician and his shady development plans in Florida.
561,The Notebook,romance|drama,"<The Notebook> is a romance|drama book about a young couple who fall in love in the 1940s, only to be separated by societal expectations and war, but are reunited years later in a heartwarming tale of enduring love"
562,Roses Are Red (Alex Cross Novels),mystery|crime fiction|thriller,<Roses Are Red (Alex Cross Novels)> is a mystery thriller about detective Alex Cross investigating a series of high-profile bank robberies orchestrated by a ruthless mastermind.
563,Fat Tuesday,suspense|thriller|mystery,<Fat Tuesday> is a suspenseful thriller about a lawyer who must prove his innocence after being framed for a crime he didn't commit during the chaos of Mardi Gras in New Orleans.
564,The Winner,thriller|suspense|crime fiction,<The Winner> is a thriller novel about a young woman who becomes the winner of a mysterious and deadly game that threatens to destroy her life.
565,The Midnight Club,mystery|thriller,<The Midnight Club> is a mystery thriller book about a group of terminally ill patients who form a bond and uncover a deadly secret within their hospital.
566,Message in a Bottle,romance | drama,"<Message in a Bottle> is a romance/drama book about a woman who finds a heartfelt love letter in a bottle and sets out to discover the author, leading to unexpected twists and turns in her own life."
567,Unspeakable,romance|suspense|thriller,<Unspeakable> is a romance|suspense|thriller book about a forensic photographer who becomes entangled in a dangerous game of cat and mouse with a mysterious and seductive stranger.
568,When the Wind Blows,suspense|thriller,"<When the Wind Blows> is a suspense/thriller book about a young girl with extraordinary abilities who is pursued by sinister forces, leading to a thrilling and dangerous adventure."
569,The Simple Truth,mystery|suspense,<The Simple Truth> is a suspenseful mystery novel about a lawyer uncovering a conspiracy involving a secret society and a cover-up of a murder.
570,Pop Goes the Weasel,mystery|thriller|crime fiction,"<Pop Goes the Weasel> is a thriller/crime fiction book about detective Alex Cross's pursuit of a dangerous and cunning serial killer in Washington, D.C."
571,Saving Faith,thriller|suspense,<Saving Faith> is a thriller|suspense book about a lobbyist who uncovers a conspiracy involving a corrupt senator and a shadowy billionaire.
572,A Walk to Remember,romance|drama,"<A Walk to Remember> is a romance|drama book about a high school bad boy who falls in love with a terminally ill minister's daughter, leading to a heartwarming and tragic love story."
573,Cradle and All,mystery|thriller|suspense,"<Cradle and All> is a suspenseful thriller about a series of mysterious and deadly events surrounding two young pregnant girls, as a priest and a private detective race to uncover the truth before it's too late."
574,Standoff,mystery|thriller|suspense,"<Standoff> is a suspenseful thriller about a hostage situation that unfolds in a small town, forcing a negotiator and a police chief to work together to diffuse the crisis before it's too late."
575,The Switch,thriller|suspense|romance,"<The Switch> is a thriller|suspense|romance book about a woman who is forced to assume a new identity after witnessing a murder, only to become entangled in a dangerous web of deceit and betrayal."
576,1st to Die: A Novel,crime fiction|thriller|mystery,<1st to Die: A Novel> is a crime fiction thriller about four women who form a detective agency to catch a serial killer terrorizing San Francisco.
577,Wish You Well,family drama|historical fiction,<Wish You Well> is a family drama|historical fiction book about two siblings who must navigate hardships and tragedies in rural Virginia in the 1940s.
578,The Rescue,romance|drama,<The Rescue> is a romance|drama book about a firefighter who falls in love with a single mother after rescuing her son from a car accident.
579,The Bachelor (Warner Books Contemporary Romance),romance,"<The Bachelor (Warner Books Contemporary Romance)> is a romance book about a wealthy bachelor who falls for a woman with a troubled past, leading to unexpected revelations and passionate love."
580,The Playboy,romance|contemporary romance,"<The Playboy> is a contemporary romance book about a reformed playboy who falls for a woman he can't resist, but must confront his past mistakes to win her heart."
581,The First Counsel,mystery|thriller|political fiction,<The First Counsel> is a political thriller about a young White House lawyer who becomes embroiled in a dangerous conspiracy while navigating the complexities of power and loyalty.
582,Suzanne's Diary for Nicholas,romance|drama,"<Suzanne's Diary for Nicholas> is a romance|drama book about a woman named Katie who finds a diary written by her late fiancé's ex-wife, Suzanne, that reveals a heartbreaking love story."
583,Violets Are Blue,mystery|thriller,"<Violets Are Blue> is a mystery thriller book about Detective Alex Cross investigating a series of brutal murders committed by a sadistic killer known as ""The Mastermind."""
584,Envy,suspense|romance|thriller,<Envy> is a suspenseful thriller about a successful journalist investigating a murder case and facing threats from a mysterious stalker.
585,A Bend in the Road,romance|drama|fiction,<A Bend in the Road> is a romance/drama novel about a widowed deputy sheriff who falls in love again while trying to solve the mystery of his wife's death.
586,The Beach House,mystery|suspense,"""The Beach House"" is a mystery|suspense book about a murder investigation that leads to dark secrets and betrayal at a luxurious beach house in the Hamptons."
587,2nd Chance,mystery|suspense|crime fiction,<2nd Chance> is a mystery|suspense|crime fiction book about a series of murders in San Francisco that the Women's Murder Club must solve before more innocent lives are lost.
588,Four Blind Mice,mystery|thriller|crime fiction,<Four Blind Mice> is a mystery thriller book about Detective Alex Cross investigating a series of killings that lead him to a military conspiracy.
589,The Virgin Suicides,drama|coming-of-age|literary fiction,"<The Virgin Suicides> is a literary fiction book about five teenage sisters in a suburban neighborhood who all commit suicide, exploring the impact of their deaths on their community and the complex dynamics of adolescence."
590,Where the Heart Is (Oprah's Book Club (Paperback)),fiction|drama|romance,"<Where the Heart Is (Oprah's Book Club (Paperback))> is a drama/romance book about a pregnant, 17-year-old girl who is abandoned by her boyfriend at a Walmart in Oklahoma and must rebuild her life with"
591,The Honk and Holler Opening Soon,fiction|humor|literature,<The Honk and Holler Opening Soon> is a humorous and heartwarming fiction book about a woman named Caney who inherits a failing bar in a small Oklahoma town and forms unlikely friendships with the quirky locals as she tries to turn the business
592,Master of the Game,suspense|drama|thriller,"<Master of the Game> is a suspenseful thriller about the ruthless and cunning Kate Blackwell, who will stop at nothing to secure her family's legacy and power in the cutthroat world of business."
593,\O\ Is for Outlaw,detective fiction|mystery fiction,"<\O\ Is for Outlaw> is a detective fiction book about private investigator Kinsey Millhone investigating a decades-old murder tied to a former flame, while also dealing with personal struggles and uncovering shocking secrets."
594,P Is for Peril,mystery|thriller|detective fiction,<P Is for Peril> is a mystery novel about private investigator Kinsey Millhone searching for a missing woman who may have faked her own disappearance.
595,Seabiscuit: An American Legend,nonfiction|biography|sports,<Seabiscuit: An American Legend> is a nonfiction biography that tells the remarkable story of the undersized racehorse who became a symbol of hope and resilience during the Great Depression.
596,The Right Hand of Evil,horror|suspense,<The Right Hand of Evil> is a horror|suspense book about a family moving into a new house and uncovering dark secrets that have haunted the town for generations.
597,Nightshade,horror|thriller,<Nightshade> is a horror thriller about a small town plagued by a mysterious curse that causes its residents to suffer from terrifying hallucinations.
598,Dances With Wolves,western|historical fiction,<Dances With Wolves> is a western historical fiction book about a soldier who befriends a tribe of Lakota Sioux and adopts their way of life.
599,On Mystic Lake,fiction|romance,"<On Mystic Lake> is a fiction|romance book about a woman who starts a new chapter in her life after her husband leaves her for another woman, finding love and healing in the process."
600,Space,science fiction|historical fiction,"<Space> is a historical fiction book about the exploration and colonization of space, spanning from the early days of rocketry to the first manned missions to Mars."
601,The Handmaid's Tale,dystopian|science fiction|political thriller,"<The Handmaid's Tale> is a dystopian novel about a society where women are stripped of their rights and forced into roles as ""handmaids"" for reproductive purposes."
602,The Chosen,fiction|coming of age|religious fiction,"<The Chosen> is a coming of age novel set in post-World War II Brooklyn, following the friendship between two Jewish boys from different sects as they navigate their religious beliefs and personal struggles."
603,Family: The Ties That Bind and Gag,humor|family-life,<Family: The Ties That Bind and Gag> is a humor book about the chaos and laughter that comes with navigating family relationships.
604,G Is for Gumshoe (Kinsey Millhone Mysteries (Paperback)),mystery|detective fiction,<G Is for Gumshoe (Kinsey Millhone Mysteries (Paperback))> is a mystery/detective fiction book about private investigator Kinsey Millhone's search for a missing man while navigating a web of deceit and danger.
605,H Is for Homicide (Kinsey Millhone Mysteries (Paperback)),mystery|crime fiction,<H Is for Homicide (Kinsey Millhone Mysteries (Paperback))> is a mystery/crime fiction book about private investigator Kinsey Millhone investigating the murder of a shady businessman and uncovering a web of deceit and betrayal.
606,Catering to Nobody,mystery|culinary fiction,<Catering to Nobody> is a culinary mystery novel about caterer Goldy Bear who becomes embroiled in a murder investigation when one of her clients is poisoned.
607,J Is for Judgment,detective fiction|mystery,<J Is for Judgment> is a detective fiction book about private investigator Kinsey Millhone investigating a missing persons case that leads to a complex web of deceit and betrayal.
608,L Is for Lawless,crime fiction,<L Is for Lawless> is a crime fiction book about private investigator Kinsey Millhone solving a mystery involving an elderly woman's missing insurance money.
609,K Is for Killer (Kinsey Millhone Mysteries (Paperback)),mystery|crime fiction,<K Is for Killer (Kinsey Millhone Mysteries (Paperback))> is a mystery/crime fiction book about private detective Kinsey Millhone investigating the murder of a recently deceased woman's daughter.
610,I Is for Innocent,mystery|crime fiction,<I Is for Innocent> is a mystery/crime fiction book about private investigator Kinsey Millhone as she investigates the murder of a man whose ex-wife is the prime suspect.
611,Guardian,horror|thriller,<Guardian> is a horror/thriller book about a young boy who discovers that his seemingly perfect new guardian may have a dark and sinister secret.
612,M Is for Malice,mystery|crime fiction,<M Is for Malice> is a mystery/crime fiction book about private investigator Kinsey Millhone investigating the disappearance of an elderly woman's son and uncovering a web of deceit and betrayal.
613,N Is for Noose,mystery|detective fiction,"<N Is for Noose> is a mystery/detective fiction book about private investigator Kinsey Millhone investigating the apparent suicide of a local man, which uncovers secrets and motives that point to murder."
614,Dicey's Song,fiction|young adult fiction,"<Dicey's Song> is a young adult fiction book about a teenage girl named Dicey Tillerman who navigates the challenges of family, love, and identity after being abandoned by her mother."
615,A Thousand Acres (Ballantine Reader's Circle),family drama|contemporary fiction|literary fiction,"<A Thousand Acres (Ballantine Reader's Circle)> is a literary fiction book about a family drama set on a farm in Iowa, exploring themes of power, betrayal, and the complexities of family relationships."
616,Patty Jane's House of Curl (Ballantine Reader's Circle),fiction|women's fiction|humor,<Patty Jane's House of Curl (Ballantine Reader's Circle)> is a women's fiction book about the bond between two sisters as they navigate life's challenges and run a successful beauty salon in Minnesota.
617,Pet Sematary,horror|thriller,"<Pet Sematary> is a horror book about a family who discovers a mysterious burial ground that has the power to bring the dead back to life, with terrifying consequences."
618,Thinner,horror|thriller,<Thinner> is a horror/thriller book about a man who is cursed to rapidly lose weight after a gypsy's curse causes him to slowly waste away.
619,Mindbend,medical thriller,<Mindbend> is a medical thriller about a young psychologist who uncovers a sinister conspiracy involving mind control experiments at a prestigious psychiatric hospital.
620,Skeleton Crew,horror|thriller,<Skeleton Crew> is a horror/thriller book about a collection of terrifying and suspenseful short stories that will leave readers on the edge of their seats.
621,Eyes of the Dragon,fantasy|horror,"<Eyes of the Dragon> is a fantasy|horror book about a kingdom torn apart by betrayal and dark magic, as two brothers battle for the throne."
622,Misery,horror|thriller,"<Misery> is a horror/thriller book about a famous author who is held captive by his psychotic fan after a car accident, forced to write a new novel to satisfy her obsession."
623,The Tommyknockers,horror|science fiction,<The Tommyknockers> is a horror/science fiction book about a small town in Maine being affected by a mysterious alien presence that slowly transforms its residents and leads to chaos.
624,"The Gunslinger (The Dark Tower, Book 1)",fantasy|horror|western,"<The Gunslinger (The Dark Tower, Book 1)> is a fantasy|horror|western book about Roland Deschain, the last gunslinger, on a quest to reach the mysterious Dark Tower and confront the Man in Black."
625,Pet Sematary,horror|thriller,"<Pet Sematary> is a horror novel about a family who discovers a mysterious burial ground that has the power to bring the dead back to life, with devastating consequences."
626,The Pillars of the Earth,historical fiction|drama|historical romance,"<The Pillars of the Earth> is a historical fiction book about the construction of a cathedral in 12th century England, intertwined with power struggles, love, and betrayal."
627,The Dark Half,horror|thriller,<The Dark Half> is a horror book about a writer whose pseudonym takes on a life of its own and begins committing murders.
628,It,horror|thriller|supernatural,<It> is a horror book about a group of friends who reunite as adults to face a shape-shifting entity that preys on children in their small town.
629,Misery,horror|thriller|psychological horror,"<Misery> is a psychological horror book about a famous author held captive by his obsessed fan, who forces him to write a new novel to her twisted specifications."
630,The Stand: Complete and Uncut,horror|post-apocalyptic|dystopian,"<The Stand: Complete and Uncut> is a horror post-apocalyptic novel about a deadly virus that wipes out most of the world's population, leaving the survivors to choose between two opposing leaders in a battle of good versus evil."
631,Four Past Midnight,horror|supernatural fiction|thriller,"<Four Past Midnight> is a horror book about four interconnected novellas that delve into themes of fear, suspense, and supernatural occurrences."
632,Needful Things,horror|thriller|supernatural,"<Needful Things> is a horror-thriller novel by Stephen King about a mysterious new store in town that offers residents tempting but sinister items in exchange for favors, sparking chaos and violence in the community."
633,Night over Water,historical fiction|thriller|adventure,<Night over Water> is a historical fiction thriller about the passengers and crew aboard a luxurious flying boat attempting to cross the Atlantic Ocean amidst the outbreak of World War II.
634,Gerald's Game,thriller|horror|psychological thriller,"<Gerald's Game> is a psychological thriller book about a woman who becomes trapped in handcuffs during a sex game gone wrong, leading her to confront her traumatic past and fight for survival."
635,Dolores Claiborne,mystery|psychological thriller|drama,<Dolores Claiborne> is a psychological thriller about a woman who confesses to murdering her abusive husband and must confront dark family secrets while maintaining her innocence in the eyes of the law.
636,The Door to December,mystery|horror,<The Door to December> is a horror book about a mother's terrifying journey to uncover the truth behind her daughter's disturbing behavior and the mysterious experiments conducted on her.
637,A Case of Need,medical thriller|mystery|medical fiction,<A Case of Need> is a medical thriller book about a young doctor who becomes entangled in a dangerous conspiracy while investigating the death of a prominent surgeon's daughter.
638,The Rosewood Casket,mystery|southern fiction|historical fiction,<The Rosewood Casket> is a mystery and southern fiction novel about a family's dark secrets and a murder investigation in the Appalachian mountains.
639,She Walks These Hills,mystery|suspense|fiction,<She Walks These Hills> is a suspenseful mystery novel that weaves together the stories of a modern-day murder investigation and a legendary Appalachian folk tale.
640,Insomnia,horror|thriller|suspense,<Insomnia> is a horror book about an elderly man who develops insomnia and starts experiencing terrifying hallucinations involving supernatural beings.
641,Rose Madder,horror|thriller|suspense,<Rose Madder> is a horror book about a woman named Rose who escapes her abusive husband and discovers a mysterious painting that transports her to a nightmarish world.
642,The Deep End of the Ocean,drama|family drama|literary fiction,<The Deep End of the Ocean> is a family drama book about a mother's search for her missing son and the impact it has on her family.
643,The Bone Collector (Lincoln Rhyme Novels (Paperback)),mystery|thriller|crime fiction,<The Bone Collector (Lincoln Rhyme Novels (Paperback))> is a gripping crime fiction novel about a quadriplegic forensic detective and a young officer who team up to track down a sadistic serial killer in New York City
644,The Two Dead Girls (Green Mile Series),drama|fantasy|horror,<The Two Dead Girls (Green Mile Series)> is a drama|fantasy|horror book about a prison guard's encounters with supernatural occurrences surrounding the death row inmates at Cold Mountain Penitentiary.
645,The Green Mile: The Mouse on the Mile (Green Mile Series),fiction|horror|crime fiction,<The Green Mile: The Mouse on the Mile (Green Mile Series)> is a horror crime fiction book about a mysterious mouse that arrives at the Cold Mountain Penitentiary and brings about strange and unsettling events for the inmates and guards.
646,The Green Mile: Coffey's Hands (Green Mile Series),mystery|supernatural fiction|drama,"<The Green Mile: Coffey's Hands (Green Mile Series)> is a mystery and supernatural fiction book about death row inmate John Coffey, who possesses healing powers and forms a special bond with the prison guards as they witness his extraordinary abilities."
647,The Green Mile: The Bad Death of Eduard Delacroix (Green Mile Series),horror|suspense|fiction,<The Green Mile: The Bad Death of Eduard Delacroix (Green Mile Series)> is a horror|suspense|fiction book about the chilling events surrounding the execution of prisoner Eduard Delacroix on death row.
648,The Green Mile: Night Journey (Green Mile Series),horror|supernatural fiction|drama,"<The Green Mile: Night Journey (Green Mile Series)> is a horror|supernatural fiction|drama book about the mysterious events that occur on Death Row at Cold Mountain Penitentiary, involving a supernatural inmate named John Coffey."
649,The Green Mile: Coffey on the Mile (Green Mile Series),supernatural|horror|mystery,<The Green Mile: Coffey on the Mile (Green Mile Series)> is a supernatural horror mystery book about a death row inmate with extraordinary powers who forms a bond with the prison guards.
650,The Regulators,horror|thriller,<The Regulators> is a horror|thriller book about a suburban neighborhood that descends into chaos when a mysterious force transforms the residents into violent and bloodthirsty killers.
651,How Stella Got Her Groove Back,romance|drama,"<How Stella Got Her Groove Back> is a romance|drama book about a successful, middle-aged woman who finds love and adventure on a trip to Jamaica."
652,The Most Wanted,suspense|thriller,"<The Most Wanted> is a suspense thriller book about a woman who goes on the run with her daughter after witnessing a murder committed by her husband, who is a powerful and dangerous man."
653,The Ballad of Frankie Silver,historical fiction|crime fiction|mystery,<The Ballad of Frankie Silver> is a historical fiction/crime fiction book about the true story of a young woman accused of murdering her husband in 1831 North Carolina.
654,The Deep End of the Ocean,drama|family|thriller,<The Deep End of the Ocean> is a drama book about a mother's search for her missing son and the emotional turmoil that follows when he is found nine years later.
655,Beyond Eden,romance|suspense,<Beyond Eden> is a romance|suspense book about a young woman who discovers dark secrets about her family's past while falling in love with a charming stranger.
656,Back Roads,Fiction|Drama|Coming-of-age,<Back Roads> is a gripping coming-of-age drama about a young man struggling to navigate the complexities of family dysfunction and tragedy in a small Pennsylvania town.
657,Scarlet Feather,fiction|romance,<Scarlet Feather> is a romance novel about two friends who start a catering business together and navigate the ups and downs of their personal and professional lives.
658,4 Blondes,chick lit|contemporary fiction|romance,"<4 Blondes> is a chick lit book about the lives and relationships of four glamorous and successful blonde women navigating the highs and lows of love, sex, and power in New York City."
659,The Door to December,mystery|horror|thriller,"<The Door to December> is a horror thriller book about a woman's daughter who is kidnapped by a mysterious man who claims to be her father, leading to a frightening journey into the unknown."
660,Dead Sleep,thriller|suspense|crime fiction,<Dead Sleep> is a suspenseful thriller about a forensic pathologist who investigates a series of murders linked to a mysterious online auction site.
661,How to Murder a Millionaire,mystery|crime fiction|humor,<How to Murder a Millionaire> is a mystery book about a socialite who becomes the prime suspect in the murder of her wealthy husband.
662,The Hangman's Beautiful Daughter,mystery|suspense|crime fiction,"<The Hangman's Beautiful Daughter> is a mystery novel about a serial killer targeting women in a small Appalachian town, with a young newspaper reporter and a retired police officer teaming up to solve the case."
663,The Trials of Tiffany Trott,fiction|women's fiction,"<The Trials of Tiffany Trott> is a women's fiction book about a young woman navigating the trials and tribulations of love, friendship, and self-discovery in modern-day London."
664,1984,dystopian|political|science fiction,<1984> is a dystopian political science fiction book about a totalitarian society ruled by Big Brother where individuality and freedom are suppressed.
665,Animal Farm,historical fiction|political satire|allegory,"<Animal Farm> is a political satire allegory about a group of farm animals who rebel against their oppressive human owner, only to be manipulated and oppressed by the pigs who take over the farm."
666,Song of Solomon (Oprah's Book Club (Paperback)),literary fiction|historical fiction,"<Song of Solomon (Oprah's Book Club (Paperback))> is a literary fiction book about the journey of a young African American man in search of his identity, heritage, and place in the world."
667,Beloved (Plume Contemporary Fiction),fiction|historical fiction|literary fiction,"<Beloved (Plume Contemporary Fiction)> is a literary fiction book about a former slave, Sethe, who is haunted by the memory of her dead daughter and the trauma of her past as she struggles to rebuild her life in post-Civil War"
668,The Claiming of Sleeping Beauty (Erotic Adventures of Sleeping Beauty),erotic|fantasy,<The Claiming of Sleeping Beauty (Erotic Adventures of Sleeping Beauty)> is an erotic fantasy book about a young princess who is awakened from her enchanted sleep and taken to a kingdom where she is trained as a submissive sex slave.
